iter	MultiClass
0	0.0003856750301
1	0.000385419756
2	0.0003848904627
3	0.0003845712284
4	0.0003823982833
5	0.0003807480146
6	0.0003800952906
7	0.0003798773268
8	0.0003798090903
9	0.0003788153616
10	0.0003768192504
11	0.0003757217379
12	0.0003753665742
13	0.0003741593242
14	0.0003734883277
15	0.0003718688327
16	0.0003695158263
17	0.0003693473327
18	0.0003688657765
19	0.0003686955073
20	0.0003665295956
21	0.0003663431297
22	0.0003659015503
23	0.0003652479972
24	0.0003646274064
25	0.0003631556453
26	0.0003624589963
27	0.0003608994242
28	0.0003600801527
29	0.0003591527746
30	0.0003590809811
31	0.0003573406348
32	0.0003571867837
33	0.0003569242825
34	0.000354119732
35	0.0003534643401
36	0.0003511170154
37	0.0003508085587
38	0.0003488513905
39	0.0003473530133
40	0.0003459403173
41	0.0003459107313
42	0.0003447335878
43	0.0003428462957
44	0.000342262827
45	0.0003409842733
46	0.000340930014
47	0.0003397033765
48	0.0003393391686
49	0.000338081726
50	0.000337826378
51	0.0003375682768
52	0.0003371039701
53	0.0003367668859
54	0.0003357160889
55	0.0003353708635
56	0.0003340324554
57	0.0003338803114
58	0.0003334284008
59	0.0003324061062
60	0.0003315974581
61	0.0003312800268
62	0.0003299342177
63	0.0003282592652
64	0.0003271573084
65	0.0003265066916
66	0.0003264623834
67	0.0003261037616
68	0.0003239409337
69	0.0003230878509
70	0.0003221675874
71	0.0003218947444
72	0.0003215223789
73	0.000319759658
74	0.0003194491472
75	0.0003193316819
76	0.0003186046004
77	0.0003168058498
78	0.0003163986646
79	0.0003162052009
80	0.0003151284545
81	0.0003146270611
82	0.00031395203
83	0.0003133497412
84	0.0003129230732
85	0.0003128667676
86	0.0003119563404
87	0.0003115396821
88	0.0003100747082
89	0.0003097813151
90	0.0003094734619
91	0.0003090279951
92	0.0003087058662
93	0.0003083038103
94	0.0003081868283
95	0.0003076507087
96	0.0003061218752
97	0.0003056178234
98	0.0003050146415
99	0.0003041918695
100	0.0003037673842
101	0.0003036177767
102	0.0003033205206
103	0.0003031226701
104	0.0003029663446
105	0.0003022170077
106	0.0003021518708
107	0.0003009268161
108	0.0003003647071
109	0.000300260936
110	0.0002999227262
111	0.0002998543384
112	0.000299191009
113	0.0002986177436
114	0.0002985204811
115	0.0002979960629
116	0.000297848707
117	0.000297390242
118	0.0002957782348
119	0.0002953244825
120	0.000295040733
121	0.0002948278864
122	0.0002939318553
123	0.0002928659133
124	0.0002928208906
125	0.0002924879131
126	0.0002923296425
127	0.0002918463403
128	0.0002913877032
129	0.0002911216282
130	0.0002910758741
131	0.0002903277546
132	0.0002901340002
133	0.0002887121896
134	0.0002875548869
135	0.0002874573654
136	0.0002871795583
137	0.0002871626489
138	0.0002851636315
139	0.000283967633
140	0.0002832314035
141	0.0002831794709
142	0.000281712606
143	0.0002816350486
144	0.0002802701362
145	0.0002795759707
146	0.0002793334868
147	0.0002792447748
148	0.0002784114701
149	0.0002779574951
150	0.0002767245815
151	0.0002765360722
152	0.0002752314408
153	0.0002747254128
154	0.0002742267779
155	0.0002740680685
156	0.0002734735272
157	0.0002729055096
158	0.0002724999009
159	0.0002723548693
160	0.0002720058371
161	0.0002716943282
162	0.000270720798
163	0.0002695066163
164	0.0002691507061
165	0.0002682454305
166	0.0002679641045
167	0.0002678987393
168	0.0002675895081
169	0.0002658938298
170	0.0002653226648
171	0.0002647976921
172	0.0002647245659
173	0.0002645658609
174	0.0002638679978
175	0.0002635744686
176	0.0002632966409
177	0.0002627172534
178	0.0002624828624
179	0.0002617604936
180	0.0002608817311
181	0.0002607487042
182	0.0002606871458
183	0.0002602915147
184	0.0002601334985
185	0.0002597094257
186	0.0002596344056
187	0.0002592027422
188	0.0002584352858
189	0.0002573227946
190	0.0002564508083
191	0.0002561339932
192	0.0002558899909
193	0.0002557804598
194	0.0002557380556
195	0.0002555876948
196	0.0002551585
197	0.0002542988097
198	0.0002540783651
199	0.000253961117
